Station Number,City,Station Name,Latitude,Longitude,Coordinates,Google Place Name,Notes
MK080,مكة,طريق السيل,21.5182085,40.0926308,"21.5182085, 40.0926308",4452 84 حنين الشرائع,
MK164,مكة,محطة ولي العهد 3,21.3166905,39.7083916,"21.3166905, 39.7083916",,
MD011,المدينة المنورة,ابيار,24.2263793,39.5545662,"24.2263793, 39.5545662",محطة درب,
RY073,الرياض,القديه,24.5515252,46.4843329,"24.5515252, 46.4843329",محطة درب,
EP074,حفر الباطن,حي الورود,28.3002194,45.9469864,"28.3002194, 45.9469864",محطة درب,
MD194,المدينة المنورة,محطة النواة,24.067558,38.121863,"24.067558, 38.121863",,
JA155,جازان,محطة بترو بارك,17.4406111,42.5199167,"17.4406111, 42.5199167",,
RY200,الرياض,نبض - ثادج,25.828716,42.680627,"25.828716, 42.680627",,
MK217,مكة,محطة المظليف,19.5378828,41.0488429,"19.5378828, 41.0488429",محطه قنوي,
HA050,حائل,مطار حائل,27.483218,41.7021442,"27.483218, 41.7021442",,
BH126,الباحة,"محطة الحميدان
",20.2115843,41.3672353,"20.2115843, 41.3672353",محطة ففكو FIFCO,
MK127,جدة,درب بحره,21.4014658,39.4553798,"21.4014658, 39.4553798",8590 طريق مكة القديم بحرة,
JA094,جازان,الكربوس (محطة الزهور ),16.8615518,42.6323994,"16.8615518, 42.6323994",,
RY338,الرياض,محطة التعاون,24.7646412,46.7018535,"24.7646412, 46.7018535",محطة لوجيكال للوقود - الرياض,
HA052,حائل,الأمير سعود,27.468506,41.64977,"27.468506, 41.64977",,
EP349,الاحساء,-,25.278688,49.708832,"25.278688, 49.708832",,
EP301,الدمام,الدمام Dammam,26.379529,50.17849,"26.379529, 50.17849",,
NJ350,نجران,زهرة الجنوب 1,17.756034,43.506832,"17.756034, 43.506832",,
EP337,الاحساء,الحزام الذهبي الاحساء,25.411059,49.546924,"25.411059, 49.546924",,
EP335,الاحساء,النزهة الاحساء,25.4483082,49.5939283,"25.4483082, 49.5939283",محطه لوجيكال - المبرز الاحساء,
AS255,عسير,طريق الستين (نوره الشهراني),20.0309085,42.6752801,"20.0309085, 42.6752801",5601 ولي العهد بيشة حي الصفا,تنبيه: نفس الرابط مستخدم أيضاً للمحطة AS124 — تحقق من صحة الرابط
EP299,الشرقية,طريق قبه,27.624208,44.685494,"27.624208, 44.685494",,
MK313,جدة,محطة الصفا,21.584632,39.217162,"21.584632, 39.217162",,
AS124,عسير,الصفاء,20.0309085,42.6752801,"20.0309085, 42.6752801",5601 ولي العهد بيشة حي الصفا,تنبيه: نفس الرابط مستخدم أيضاً للمحطة AS255 — تحقق من صحة الرابط
MK091,الطائف,محطة السر,21.2035788,40.6310901,"21.2035788, 40.6310901",4383 الملعب 23 الطائف,
JA188,جازان,محطة طريق الملك عبدالعزيز بيش,17.3545055,42.545415,"17.3545055, 42.545415",محطة وقود,
AS197,خميس مشيط ,سوق الاشواق,18.3364891,42.7449418,"18.3364891, 42.7449418",3641 جحش الجهني - خميس مشيط,
MK191,جدة,الربوة التلاتين,21.6034364,39.1833411,"21.6034364, 39.1833411",محطة الثلاثين,
MK318,الطائف,محطة الدغمية الخرمة,21.970515,42.048956,"21.970515, 42.048956",2167 الخرمه 815,
QS319,القصيم,محطة قرطبة - سنيدي-بريدة,26.4068448,43.9027291,"26.4068448, 43.9027291",,
MK082,جدة,امنيتي(اسكان المدائن),21.4604384,39.2481878,"21.4604384, 39.2481878",محطة درب حي الوزيريه,
EP324,الشرقية,رمكو الصفوي,26.654062,49.92447,"26.654062, 49.92447",,
تحت التوثيق,جدة,هدى الشام,21.6151175,39.2704458,"21.6151175, 39.2704458",,
JA259,جازان,الخالدية ضمد,17.1044162,42.7577449,"17.1044162, 42.7577449",GBDE2605 ضمد,
MK104,جدة,الخمرة,21.332535,39.261769,"21.332535, 39.261769",,
MK142,مكة,عين شمس,21.68974,39.826491,"21.68974, 39.826491",,
NJ145,نجران,المندفق,18.5846257,45.322113,"18.5846257, 45.322113",7055 طريق الملك عبد العزيز ظلماء,
NA190,نجران,الحصينية,17.8123541,44.4411687,"17.8123541, 44.4411687",8823 طريق الملك عبد العزيز - الحصينية,
AS225,عسير,محطة الفلاح-بيشة,20.0455538,42.5843214,"20.0455538, 42.5843214",محطة بالشوك,
MK190,مكة,قديد,22.430833,39.362641,"22.430833, 39.362641",,
MD097,المدينة المنورة,الامام مسلم,24.4647056,39.5164567,"24.4647056, 39.5164567",محطة زاوية طيبة للمحروقات,
,خميس مشيط,خميس مشيط طريق الرياض,18.3027177,42.7766103,"18.3027177, 42.7766103",,
JA026,جازان,الكربوس - طريق الملك فيصل,16.877875,42.64314,"16.877875, 42.64314",,
AS211,عسير,المطار القديم,18.318742,42.750351,"18.318742, 42.750351",,
AS212,عسير,محايل عسر الياسمين,18.534657,42.056102,"18.534657, 42.056102",,
BH253,الباحة,مثلث الأطاولة العقيق,20.221548,41.36272,"20.221548, 41.36272",,
BH108,الباحة,بني عدوان (شمرخ),20.383154,41.305395,"20.383154, 41.305395",,
RY095,الخرج,السفير 4 (الهداء),24.105294,47.287781,"24.105294, 47.287781",,
RY076,الخرج,السحاب,24.1367626,47.3718491,"24.1367626, 47.3718491",,
RY077,الخرج,السفير 1 ( طويق الزاهر ),24.1306915,47.3509636,"24.1306915, 47.3509636",,
HA109,حائل,المدائن - حائل,27.401975,41.719733,"27.401975, 41.719733",,
Mk284,مكة,محطة بتروتن مكة,21.309018,39.688836,"21.309018, 39.688836",,
JO251,الجوف,محطة الريان - الجوف,31.345833,37.352119,"31.345833, 37.352119",,
